"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"fbyj5j85",2,1,1,52,5.75684104043981,1.76444042965009,60,80,NA,0,14,3.99240061078972,0
"fbyj5j85",2,1,1,53,5.75684104043981,2.6688225046589,60,80,NA,0,14,3.08801853578091,0
"fbyj5j85",2,1,1,54,5.78584294207819,3.56438304882947,60,79,NA,0,14,2.22145989324872,0
"fbyj5j85",2,1,1,55,5.78584294207819,3.56438304882947,60,79,NA,0,14,2.22145989324872,0
"fbyj5j85",2,1,1,56,5.78584294207819,3.56438304882947,60,79,NA,0,14,2.22145989324872,0
"fbyj5j85",2,1,1,57,5.78584294207819,3.56438304882947,60,79,NA,0,14,2.22145989324872,0
"fbyj5j85",2,1,1,58,6.36549661865397,4.23980385842919,60,60,60,-1,13,2.12569276022478,0
"fbyj5j85",2,1,1,59,5.12823952023954,1.72013842779078,50,79,NA,0,13,3.40810109244876,0
"fbyj5j85",2,1,1,60,5.12823952023954,1.72013842779078,50,79,NA,0,13,3.40810109244876,0
"fbyj5j85",2,1,1,61,5.12823952023954,1.72013842779078,50,79,NA,0,13,3.40810109244876,0
"fbyj5j85",2,1,1,62,5.1540746435475,2.58026193850514,50,78,NA,0,13,2.57381270504236,0
"fbyj5j85",2,1,1,63,6.05352394701202,3.55731524030923,60,70,NA,0,13,2.49620870670279,0
"fbyj5j85",2,1,1,64,6.05352394701202,3.55731524030923,60,70,NA,0,13,2.49620870670279,0
"fbyj5j85",2,1,1,65,5.44851787987449,3.60163896067675,60,70,NA,0,13,1.84687891919774,0
"fbyj5j85",2,1,1,66,5.44851787987449,3.60163896067675,60,70,NA,0,13,1.84687891919774,0
"fbyj5j85",2,1,1,67,6.43174746847455,3.63951767797368,69,60,60,-1,12,2.79222979050087,0
"fbyj5j85",2,1,1,68,5.29363891344255,2.82204500054563,69,70,NA,0,12,2.47159391289692,0
"fbyj5j85",2,1,1,69,6.26710421545408,1.91351724748364,70,70,70,1,13,4.35358696797044,0
"fbyj5j85",2,1,1,70,5.81159054511109,2.98,79,79,79,1,14,2.83159054511109,0
"fbyj5j85",2,1,1,71,5.03419793444731,1.8924463049278,69,80,NA,0,14,3.14175162951951,0
"fbyj5j85",2,1,1,72,5.03419793444731,0.946223152463898,69,80,NA,0,14,4.08797478198341,0
"fbyj5j85",2,1,1,73,5.03419793444731,0.946223152463898,69,80,NA,0,14,4.08797478198341,0
"fbyj5j85",2,1,1,74,5.98042108691121,1.8924463049278,80,69,74.5,0,14,4.08797478198341,0
"fbyj5j85",2,2,1,1,2.11553698699251,3.90987994446543,20,65,NA,0,0,-1.79434295747292,1
"fbyj5j85",2,2,1,2,2.687378461115,5.76203845444129,65,65,65,1,1,-3.07465999332629,0
"fbyj5j85",2,2,1,3,3.71076171857596,6.23633635877384,65,20,50,1,2,-2.52557464019788,0
"fbyj5j85",2,2,1,4,1.72878233948823,3.12211291456688,1,30,NA,0,2,-1.39333057507865,0
"fbyj5j85",2,2,1,5,3.49434418866319,3.61192134284658,30,30,30,1,3,-0.11757715418339,0
"fbyj5j85",2,2,1,6,2.66864581836808,3.9043820750088,70,70,70,1,4,-1.23573625664072,0
"fbyj5j85",2,2,1,7,2.04014141666296,2.37551424858274,30,70,NA,0,4,-0.33537283191978,0
"fbyj5j85",2,2,1,8,2.04014141666296,2.37551424858274,30,70,NA,0,4,-0.33537283191978,0
"fbyj5j85",2,2,1,9,2.66864581836808,2.9043820750088,70,70,70,1,5,-0.23573625664072,0
"fbyj5j85",2,2,1,10,2.04014141666296,1.55760731098551,30,70,NA,0,5,0.48253410567745,0
"fbyj5j85",2,2,1,11,3.48655275596531,1.9043820750088,70,70,70,1,6,1.58217068095651,0
"fbyj5j85",2,2,1,12,2.61469902469198,1.72011670928258,50,80,NA,0,6,0.8945823154094,0
"fbyj5j85",2,2,1,13,3.46598385112757,1.72878233948823,51,80,NA,0,6,1.73720151163934,0
"fbyj5j85",2,2,1,14,3.46598385112757,1.72878233948823,51,80,NA,0,6,1.73720151163934,0
"fbyj5j85",2,2,1,15,4.6629666502055,2.72228901260604,60,60,60,1,7,1.94067763759946,0
"fbyj5j85",2,2,1,16,3.64460579949499,2.63990377130096,51,70,NA,0,7,1.00470202819403,0
"fbyj5j85",2,2,1,17,3.64460579949499,2.63990377130096,51,70,NA,0,7,1.00470202819403,0
"fbyj5j85",2,2,1,18,3.64460579949499,2.63990377130096,51,70,NA,0,7,1.00470202819403,0
"fbyj5j85",2,2,1,19,4.3127213798009,2.9043820750088,70,70,70,1,8,1.4083393047921,0
"fbyj5j85",2,2,1,20,5.2637114297009,1.9043820750088,70,70,70,1,9,3.3593293546921,0
"fbyj5j85",2,2,1,21,4.15791675577109,1.76611119934141,65,80,NA,0,9,2.39180555642968,0
"fbyj5j85",2,2,1,22,3.61469902469198,2.63787971404044,65,65,65,-1,8,0.97681931065154,0
"fbyj5j85",2,2,1,23,2.61469902469198,1.63787971404044,50,80,NA,0,8,0.97681931065154,0
"fbyj5j85",2,2,1,24,3.24879374105877,2.9043820750088,80,80,80,1,9,0.34441166604997,0
"fbyj5j85",2,2,1,25,3.24879374105877,1.9043820750088,80,80,80,1,10,1.34441166604997,0
"fbyj5j85",2,2,1,26,2.48655275596531,1.55760731098551,50,90,NA,0,10,0.9289454449798,0
"fbyj5j85",2,2,1,27,2.48655275596531,1.55760731098551,50,90,NA,0,10,0.9289454449798,0
"fbyj5j85",2,2,1,28,2.48655275596531,1.55760731098551,50,90,NA,0,10,0.9289454449798,0
"fbyj5j85",2,2,1,29,3.30445969356254,1.55760731098551,50,90,NA,0,10,1.74685238257703,0
"fbyj5j85",2,2,1,30,3.84213428743537,3.24161328086344,50,60,NA,0,10,0.60052100657193,0
"fbyj5j85",2,2,1,31,4.74944940272185,3.40867213195796,60,60,60,2,12,1.34077727076389,0
"fbyj5j85",2,2,1,32,2.48655275596531,1.55760731098551,50,90,NA,0,12,0.9289454449798,0
"fbyj5j85",2,2,1,33,1.97158388271087,1.63787971404044,60,90,NA,0,12,0.33370416867043,0
"fbyj5j85",2,2,1,34,1.49624384070516,1.63787971404044,60,90,NA,0,12,-0.14163587333528,0
"fbyj5j85",2,2,1,35,2.67110675918258,2.07159859068209,60,30,30,-1,11,0.59950816850049,0
"fbyj5j85",2,2,1,36,1.9043820750088,2.40867213195796,60,60,60,-1,10,-0.50429005694916,0
"fbyj5j85",2,2,1,37,0.9509900499,3.06844459036259,50,60,NA,0,10,-2.11745454046259,0
"fbyj5j85",2,2,1,38,0.9509900499,3.06844459036259,50,60,NA,0,10,-2.11745454046259,0
"fbyj5j85",2,2,1,39,0.9509900499,3.06844459036259,50,60,NA,0,10,-2.11745454046259,0
"fbyj5j85",2,2,1,40,0.9509900499,3.06844459036259,50,60,NA,0,10,-2.11745454046259,0
"fbyj5j85",2,2,1,41,0.9509900499,3.06844459036259,50,60,NA,0,10,-2.11745454046259,0
"fbyj5j85",2,2,1,42,0.9509900499,3.06844459036259,50,60,NA,0,10,-2.11745454046259,0
